Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek
2002-12-03,Onion,23,Bhagalpur,FAQ,Bhagalpur,500,400,450,Bihar,Nasik,2002,12,3,1
2002-12-03,Rice,3,Bhagalpur,FAQ,Bhagalpur,900,800,850,Bihar,Parmal,2002,12,3,1
2002-12-03,Wheat,1,Bhagalpur,FAQ,Bhagalpur,600,500,550,Bihar,UP 308,2002,12,3,1
2002-12-03,Rice,3,Bhagalpur,FAQ,Bhagalpur,800,700,750,Bihar,Medium,2002,12,3,1
2002-12-03,Potato,24,Bhagalpur,FAQ,Bhagalpur,600,500,550,Bihar,Desi,2002,12,3,1
2002-12-03,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,500,400,440,Bihar,Other,2002,12,3,1
2002-12-03,Red Gram,7,Bhagalpur,FAQ,Bhagalpur,2500,2200,2350,Bihar,Desi(Whole),2002,12,3,1
2003-06-05,Wheat,1,Bhagalpur,FAQ,Bhagalpur,635,625,630,Bihar,Kalyan,2003,6,5,3
2003-06-05,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,1910,1895,1900,Bihar,Masoor Gola,2003,6,5,3
2003-06-05,Wheat,1,Bhagalpur,FAQ,Bhagalpur,645,640,640,Bihar,Lokwan,2003,6,5,3
2003-06-05,Rice,3,Bhagalpur,FAQ,Bhagalpur,1235,1230,1230,Bihar,Fine,2003,6,5,3
2003-06-05,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1835,1825,1830,Bihar,Other,2003,6,5,3
2003-06-05,Rice,3,Bhagalpur,FAQ,Bhagalpur,1018,1010,1015,Bihar,Other,2003,6,5,3
2003-06-05,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,1050,1040,1045,Bihar,Small (Split),2003,6,5,3
2003-06-05,Potato,24,Bhagalpur,FAQ,Bhagalpur,335,330,332,Bihar,Chandermukhi,2003,6,5,3
2003-06-05,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,565,550,555,Bihar,Paddy fine,2003,6,5,3
2003-06-05,Onion,23,Bhagalpur,FAQ,Bhagalpur,490,480,485,Bihar,Local,2003,6,5,3
