Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek,Previous_Price,Previous_Price_2,Previous_Price_3,Rolling_Mean_3,Rolling_Mean_7
2003-06-21,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,735,500,530,Bihar,Paddy fine,2003,6,21,5,530.0,530.0,530.0,530.0,533.5714285714286
2003-06-21,Rice,3,Bhagalpur,FAQ,Bhagalpur,1120,980,1010,Bihar,Medium,2003,6,21,5,1010.0,1010.0,1010.0,1010.0,972.8571428571429
2003-06-21,Potato,24,Bhagalpur,FAQ,Bhagalpur,475,370,400,Bihar,Desi,2003,6,21,5,400.0,385.0,385.0,390.0,408.57142857142856
2003-06-24,Wheat,1,Bhagalpur,FAQ,Bhagalpur,765,575,665,Bihar,Deshi,2003,6,24,1,660.0,660.0,660.0,660.0,652.8571428571429
2003-06-24,Onion,23,Bhagalpur,FAQ,Bhagalpur,560,480,530,Bihar,Pusa-Red,2003,6,24,1,515.0,515.0,490.0,506.6666666666667,496.42857142857144
2003-06-24,Potato,24,Bhagalpur,FAQ,Bhagalpur,485,380,410,Bihar,Desi,2003,6,24,1,400.0,400.0,385.0,395.0,387.14285714285717
2003-06-24,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6075,5665,5700,Bihar,Other,2003,6,24,1,5750.0,5825.0,5825.0,5800.0,5812.857142857143
2003-06-24,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2050,1985,2025,Bihar,Desi (F.A.Q. Split),2003,6,24,1,2025.0,2025.0,2030.0,2026.6666666666667,2028.5714285714287
2003-06-24,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2525,2600,Bihar,Arhar Dal(Tur),2003,6,24,1,2600.0,2600.0,2600.0,2600.0,2602.8571428571427
2003-06-24,Rice,3,Bhagalpur,FAQ,Bhagalpur,1125,990,1015,Bihar,Medium,2003,6,24,1,1010.0,1010.0,1010.0,1010.0,1010.0
2003-06-24,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,725,510,530,Bihar,Paddy fine,2003,6,24,1,530.0,530.0,530.0,530.0,530.0
2003-06-25,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,720,510,530,Bihar,Paddy fine,2003,6,25,2,530.0,530.0,530.0,530.0,530.0
2003-06-25,Onion,23,Bhagalpur,FAQ,Bhagalpur,560,485,535,Bihar,Pusa-Red,2003,6,25,2,530.0,515.0,515.0,520.0,502.85714285714283
2003-06-25,Potato,24,Bhagalpur,FAQ,Bhagalpur,485,385,410,Bihar,Desi,2003,6,25,2,410.0,400.0,400.0,403.3333333333333,391.42857142857144
2003-06-25,Wheat,1,Bhagalpur,FAQ,Bhagalpur,760,580,665,Bihar,Deshi,2003,6,25,2,665.0,660.0,660.0,661.6666666666666,655.0
